#Film:	Ivanhoe
#Scene:	Ende
#FPS:	25
#Context:	person§Ivanhoe, person§Brian de Bois-Guilbert, person§Rebecca, person§Rowena, person§prince john, person§Isaac of York, person§the audience, person§the judge, object§the flail, object§the axe, object§Ivanhoe's shield, object§Guilbert's Horse, place§battleground, 
#EntityList:	person§Richard, person§Richard's knights, person§medic 1, person§medic 2, person§Ivanhoe, person§Brian de Bois-Guilbert, person§Rebecca, person§Rowena, person§prince john, person§Isaac of York, person§the audience, person§the judge, object§the flail, object§the axe, object§Ivanhoe's shield, object§Guilbert's Horse, place§battleground, 
1788_1	long_shot	false	action	person§prince john	stands up	
1788_2	long_shot	false	action	person§Richard's knights	array themselves behind	person§Richard
1879_1	closeup	false	expresses	person§Richard	nothing
1957_1	medium_shot	false	expresses	person§prince john	disenchantment
1957_2	medium_shot	false	action	person§prince john	knees for	person§Richard
2180_1	closeup	false	expresses	person§Richard	satisfaction
2225_1	american_shot	false	action	person§Isaac of York	hugs	person§Rebecca
2225_2	american_shot	false	expresses	person§Rebecca	joy
2225_3	american_shot	false	expresses	person§Rebecca	care
2225_4	american_shot	false	action	person§Rebecca	walks towards	person§Ivanhoe
2461_1	full_shot	false	introduce	person§medic 1	
2461_2	full_shot	false	introduce	person§medic 2	
2461_3	full_shot	false	action	person§medic 1	doctors	person§Brian de Bois-Guilbert
2461_4	full_shot	false	action	person§medic 2	doctors	person§Brian de Bois-Guilbert
2461_5	full_shot	false	action	person§Ivanhoe	considers	person§Brian de Bois-Guilbert
2461_6	full_shot	false	action	person§Rebecca	considers	person§Brian de Bois-Guilbert
2461_7	full_shot	false	action	person§Isaac of York	walks to	person§Rebecca
2461_8	full_shot	false	action	person§Rebecca	turns to	person§Ivanhoe
2659_1	medium_shot	false	expresses	person§Rebecca	love
2659_2	medium_shot	false	expresses	person§Ivanhoe	nothing
2659_3	medium_shot	false	expresses	person§Rebecca	comprehension
2766_1	full_shot	false	says	person§Brian de Bois-Guilbert	Rebecca!		person§Rebecca
2766_2	full_shot	false	action	person§Rebecca	knees down to	person§Brian de Bois-Guilbert
2869_1	medium_shot	false	says	person§Brian de Bois-Guilbert	Who would blame the fates, that it was I who loved you alone.		person§Rebecca
3006_1	medium_shot	false	expresses	person§Rebecca	pity
3006_2	medium_shot	false	says	person§Brian de Bois-Guilbert	But you were always mine. Doomed am I. God keep you.		person§Rebecca
3006_3	medium_shot	false	action	person§Brian de Bois-Guilbert	dies	
3488_1	american_shot	false	action	person§Rebecca	stands up	
3488_2	american_shot	false	expresses	person§Rebecca	sorrow
3488_3	american_shot	false	says	person§Rebecca	Mylady. In death he spoke the truth.		person§Rowena
3488_4	american_shot	false	says	person§Rowena	bla		person§Rebecca
3840_1	closeup	false	says	person§Rebecca	bla		person§Rowena
4221_1	closeup	false	action	person§Rebecca	hugs	person§Rowena
4221_2	closeup	false	expresses	person§Rowena	affection
4267_1	closeup	false	expresses	person§Ivanhoe	nothing
4328_1	closeup	false	expresses	person§Rebecca	sorrow
4328_2	closeup	false	action	person§Rowena	frees herself from the hug with	person§Rebecca
4445_1	american_shot	false	action	person§Isaac of York	lays his arm around	person§Rebecca
4445_2	american_shot	false	action	person§Rebecca	leaves	
4445_3	american_shot	false	action	person§Isaac of York	leaves	
4518_1	extreme_long_shot	false	says	person§Richard	bla		person§the audience
4578_1	closeup	false	says	person§Richard	bla		person§the audience
4640_1	extreme_long_shot	false	says	person§Richard	bla		person§the audience
4640_2	extreme_long_shot	false	action	person§the audience	stands up	
4841_1	closeup	false	expresses	person§Ivanhoe	affection
4841_2	closeup	false	expresses	person§Rowena	joy
4908_1	extreme_long_shot	false	action	person§the audience	waves for	person§Richard
