0_1	4	0	0	1	0	0	-1	2	0	1	-3	-3	-3	-3	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1	-1	-1	2	1	1	100	100	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0_3	4	0	0	0	1	0	2	3	0	1	-3	-3	-3	-3	2	0	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-1	-1	-1	-1	-1	2	3	2	2	100	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0_5	4	0	0	1	0	0	3	2	0	1	-3	-3	-3	-3	3	0	0	0	0	2	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-1	-1	-1	-1	2	3	2	2	2	100	67	0	100	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0_7	4	0	0	1	0	0	2	2	0	1	-3	-3	-3	-3	4	0	0	0	0	2	0	0	3	1	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-1	-1	-1	2	3	2	2	2	1	100	75	0	100	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0_9	4	0	1	1	0	0	2	2	0	1	-3	-3	-3	-3	6	0	0	0	0	2	0	1	4	1	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-1	2	3	2	2	1	2	2	1	100	83	0	100	1	1	1	1	0	0	0	0	3	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
488_2	1	0	1	0	0	0	2	1	0	1	-3	-3	-3	1	1	6	0	0	2	1	0	0	0	0	0	1	0	0	0	1	4	1	0	6	0	0	0	4	0	0	0	0	2	3	2	2	1	2	1	2	1	0	71	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	100	0	0	0	0
611_2	1	0	0	1	0	0	1	2	0	1	-3	-3	-3	1	2	6	0	0	2	2	0	0	1	0	0	2	0	0	0	1	4	1	0	6	0	0	0	5	0	0	0	0	3	2	2	1	2	1	2	2	1	100	75	0	100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	14	0	0	86	0	0	0	0
611_4	1	0	0	1	0	0	2	2	0	1	-3	-3	-3	1	3	6	0	0	2	2	0	0	2	0	0	3	0	0	0	1	4	1	0	6	0	0	0	5	0	0	0	0	2	2	1	2	1	2	2	2	1	100	78	0	100	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	14	0	0	86	0	0	0	0
984_2	1	0	0	1	0	0	2	2	0	1	-3	-3	-3	1	4	6	0	0	2	2	0	0	3	0	0	4	0	0	0	1	4	1	0	6	0	0	1	6	0	0	0	0	2	1	2	1	2	2	2	2	1	0	70	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	33	0	0	67	0	0	0	0
1078_1	4	0	0	1	0	0	2	2	0	1	-3	-3	1	4	1	4	6	0	2	1	0	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	1	7	0	0	0	0	1	2	1	2	2	2	2	2	1	100	73	0	100	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	40	0	0	60	0	0	0	0
